region,day_type,time_slice,feature,mae,mape_pct,mean_pems,mean_sl
rural,weekday,off_peak,speed,5.537701612903226,8.499278704676136,65.15495967741936,70.5733870967742
rural,weekday,off_peak,density_proxy,8.958381861176845,39.74015759844335,22.542391380772354,19.787124652567325
rural,weekday,off_peak,flow_diff1,277.26048387096773,62.8697658130802,-0.2407258064516129,-138.48185483870967
rural,weekday,off_peak,speed_diff1,1.528225806451613,128.29192336334708,0.20370967741935486,0.3225806451612903
rural,weekday,off_peak,hour_sin,0.0,0.0,0.013297891356300554,0.013297891356300554
rural,weekday,off_peak,hour_cos,0.0,0.0,0.6911470465174027,0.6911470465174027
rural,weekday,off_peak,dow_sin,0.0,0.0,0.36367354473460245,0.36367354473460245
rural,weekday,off_peak,dow_cos,0.0,0.0,-0.1427694807079315,-0.1427694807079315
rural,weekday,pm_peak,flow,637.9820224719101,17.96656495810415,3550.9404494382024,4084.1539325842696
rural,weekday,pm_peak,speed,6.145730337078652,9.943625459258895,61.80573033707865,66.74157303370787
rural,weekday,pm_peak,density_proxy,10.315080497520896,17.744241918164388,58.13198752076061,61.91385897737335
rural,weekday,pm_peak,flow_diff1,253.26966292134833,94.36079051912877,-112.5,-143.47303370786517
rural,weekday,pm_peak,speed_diff1,2.359213483146067,135.26380210010953,0.9369662921348314,0.4247191011235955
rural,weekday,pm_peak,hour_sin,0.0,0.0,-0.8827683486394126,-0.8827683486394126
rural,weekday,pm_peak,hour_cos,0.0,0.0,-0.37030870741063,-0.37030870741063
rural,weekday,pm_peak,dow_sin,0.0,0.0,0.37426419303907443,0.37426419303907443
rural,weekday,pm_peak,dow_cos,0.0,0.0,-0.1327014602446748,-0.1327014602446748
rural,weekend,am_peak,flow,400.190625,16.56047578343526,2416.540625,2506.3875
rural,weekend,am_peak,speed,6.949375000000001,10.510842644584352,66.11625,73.065625
rural,weekend,am_peak,density_proxy,6.257069162189298,17.004279199747792,36.79702672890776,34.51998742996379
rural,weekend,am_peak,flow_diff1,341.046875,58.31107074161146,584.875,684.809375
rural,weekend,am_peak,speed_diff1,1.0271875000000001,87.30411686586984,-0.6290624999999997,-0.59375
rural,weekend,am_peak,hour_sin,0.0,0.0,0.8847645028150136,0.8847645028150136
rural,weekend,am_peak,hour_cos,0.0,0.0,-0.36648145657226705,-0.36648145657226705
rural,weekend,am_peak,dow_sin,0.0,0.0,-0.8783796973249268,-0.8783796973249268
rural,weekend,am_peak,dow_cos,0.0,0.0,0.20048443395120938,0.20048443395120938
rural,weekend,midday,flow,494.38,11.79555453755929,4191.24,4398.155
rural,weekend,midday,speed,12.411,23.517485101424008,52.773500000000006,64.93
rural,weekend,midday,density_proxy,21.00905763811759,24.2794919800203,86.53005448139538,70.13440653403408
rural,weekend,midday,flow_diff1,258.2025,80.11993049306481,106.13,138.3675
rural,weekend,midday,speed_diff1,5.401500000000001,76.91157624946604,-2.9384999999999994,-1.485
rural,weekend,midday,hour_sin,0.0,0.0,1.1324274851176597e-16,1.1324274851176597e-16
rural,weekend,midday,hour_cos,0.0,0.0,-0.9327804920294028,-0.9327804920294028
rural,weekend,midday,dow_sin,0.0,0.0,-0.8783796973249269,-0.8783796973249269
rural,weekend,midday,dow_cos,0.0,0.0,0.20048443395120938,0.20048443395120938
rural,weekend,off_peak,flow,377.2227272727273,23.67618665869748,1593.2579545454546,1386.771590909091
rural,weekend,off_peak,speed,6.034204545454545,9.241015413584211,65.29806818181818,71.32272727272728
rural,weekend,off_peak,density_proxy,7.157985248598555,28.177762422855672,25.40295833707696,19.860029956691616
rural,weekend,off_peak,flow_diff1,187.93863636363636,50.300796243240455,-223.3090909090909,-306.67727272727274
rural,weekend,off_peak,speed_diff1,1.7344318181818184,110.54537553414934,0.8192045454545455,0.7420454545454546
rural,weekend,off_peak,hour_sin,0.0,0.0,-1.524033424712715e-16,-1.524033424712715e-16
rural,weekend,off_peak,hour_cos,0.0,0.0,0.6905231011568317,0.6905231011568317
rural,weekend,off_peak,dow_sin,0.0,0.0,-0.8783796973249269,-0.8783796973249269
rural,weekend,off_peak,dow_cos,0.0,0.0,0.20048443395120938,0.20048443395120938
rural,weekend,pm_peak,flow,492.040625,12.397180945002287,3968.971875,4257.2
rural,weekend,pm_peak,speed,12.4221875,23.50808716993406,52.8421875,64.878125
rural,weekend,pm_peak,density_proxy,22.227135936943736,26.79837981286939,82.94208863428973,67.18218193441749
rural,weekend,pm_peak,flow_diff1,267.51875,123.82440153323209,-108.228125,-68.290625
rural,weekend,pm_peak,speed_diff1,5.784999999999999,94.07460107734525,2.0725000000000002,0.41875
rural,weekend,pm_peak,hour_sin,0.0,0.0,-0.8847645028150133,-0.8847645028150133
rural,weekend,pm_peak,hour_cos,0.0,0.0,-0.3664814565722673,-0.3664814565722673
rural,weekend,pm_peak,dow_sin,0.0,0.0,-0.8783796973249268,-0.8783796973249268
rural,weekend,pm_peak,dow_cos,0.0,0.0,0.20048443395120938,0.20048443395120938
urban,weekday,am_peak,flow,2331.26185770751,66.10114167814471,3526.810276679842,4205.744071146245
urban,weekday,am_peak,speed,11.737351778656127,20.48092640232842,57.30869565217392,57.69268774703557
urban,weekday,am_peak,density_proxy,58.766192100888794,82.34411538900179,71.36659592889116,87.0249488445924
urban,weekday,am_peak,flow_diff1,588.8616600790514,93.0422237904611,219.45256916996047,348.298418972332
urban,weekday,am_peak,speed_diff1,7.41590909090909,104.17829231388554,-1.1619565217391303,0.4318181818181818
